osm_id,latitude,longitude,name,shop_type,amenity,opening_hours
9462619493,-0.0386037,34.680472,Aphy Boutique And Tailoring,tailor,,Mo-Sa 08:00-18:00
9462619494,-0.11899,34.7606511,Ann Tailoring Shop,tailor,,Mo-Sa 09:00-18:00
9462619496,-0.0952806,34.7675895,Zamunda Tailoring Solutions,tailor,,Mo-Sa 08:00-17:00
9462619501,-0.1280136,34.7509729,Mama Jamila Tailoring,tailor,,"Mo-Fr,Su"
9462619503,-0.1487699,34.8267909,Slaughter House Tailoring,tailor,,Mo-Sa 08:00-19:00
9462619511,-0.0978809,34.765425,Nery Printers,copyshop,,Mo-Sa
9462619520,-0.0804255,34.7718861,Jumba Tailoring Shop,tailor,,Mo-Su 07:00-22:00
9462619523,-0.1105808,34.761828,Safe Water And Aids Project,chemist,,Mo-Fr 08:00-17:00
9462619524,-0.0947893,34.7677263,Create And Design,tailor,,Mo-Sa 08:00-20:00
9462619527,-0.0864776,34.7812004,Cate's Fashions,tailor,,Mo-Sa 07:00-18:00
9462619528,-0.0711163,34.8093784,Kibos Sugar,chemist,,Mo-Sa sunset-sunrise open
9462619529,-0.0838501,34.7790658,Sauti Furniture And Workshop,furniture,,Mo-Sa 08:00-17:00
